action_id,category,canonical_query,response_text
FAQ-001,billing,Why was I charged twice for my subscription this month?,It looks like a duplicate charge may have occurred. We'll review your billing history and refund any duplicate payment within 5 to 7 business days.
FAQ-002,billing,How do I update the credit card used for billing?,"You can update your payment method under Settings > Billing > Payment Methods, where you can add or replace your card."
FAQ-003,refund,How do I request a refund for my recent order?,"We're sorry to hear that. Open Orders, select the order, and choose Request Refund. We'll process it within 5 to 7 business days."
FAQ-004,refund,What is your refund policy for digital downloads?,Digital products can be refunded within 14 days of purchase if they have not been substantially downloaded or used.
FAQ-005,account_login,"I cannot log into my account, what should I do?","Please try resetting your password with the Forgot Password link. If you still cannot log in, clear your browser cache or contact us to unlock the account."
FAQ-006,account_login,How do I reset my forgotten password?,"Click Forgot Password on the login page, enter your email, and follow the secure reset link we send you."
FAQ-007,troubleshooting,"The mobile app keeps crashing on startup, how do I fix it?","Please update to the latest version, restart your device, and reinstall the app if crashes continue. Sharing the error log helps us diagnose faster."
FAQ-008,troubleshooting,My dashboard is not loading any data.,"Try refreshing the page and clearing the cache. If the dashboard is still blank, check your network connection and any active filters that might hide your data."
FAQ-009,pricing,How much does the Pro plan cost each month?,"The Pro plan is $29 per user per month billed monthly, or $290 per user per year when billed annually."
FAQ-010,pricing,What is the difference between the Basic and Pro plans?,"Basic covers core features for small teams, while Pro adds advanced analytics, integrations, and priority support."
FAQ-011,onboarding,How do I get started after I sign up?,"Welcome aboard! Start by completing your profile, inviting teammates, and following the in-app setup checklist to configure your workspace."
FAQ-012,onboarding,How do I invite my teammates to the workspace?,"Open Settings > Members > Invite, enter their email addresses, and assign roles. They will receive an invite link by email."
